Task;Group;Time
lcsubstr;1;11.56
lcsubstr;1;30.06
lcsubstr;1;10.3
lcsubstr;1;5.8
lcsubstr;1;2.85
lcsubstr;1;21.11
lcsubstr;1;23.11
lcsubstr;1;12.71
lcsubstr;2;6.37
lcsubstr;2;8.2
lcsubstr;2;5.29
lcsubstr;2;5.5
lcsubstr;2;6.96
lcsubstr;2;4.89
lcsubstr;2;7.36
lcsubstr;2;8.11
quadratic;1;33.1
quadratic;1;10.14
quadratic;1;21.5
quadratic;1;19.31
quadratic;1;10.45
quadratic;1;12.8
quadratic;1;27.45
quadratic;1;20.45
quadratic;2;16.32
quadratic;2;11.22
quadratic;2;10.58
quadratic;2;17.76
quadratic;2;14.4
quadratic;2;10.33
quadratic;2;14
quadratic;2;15.4
fibonaci;1;15.03
fibonaci;1;27
fibonaci;1;13.31
fibonaci;1;17.24
fibonaci;1;12.45
fibonaci;1;25.69
fibonaci;1;34.46
fibonaci;1;18.51
fibonaci;2;14.55
fibonaci;2;16.11
fibonaci;2;11.81
fibonaci;2;18.33
fibonaci;2;14.78
fibonaci;2;15.6
fibonaci;2;13.28
fibonaci;2;18.44
mergesort;1;10.54
mergesort;1;18.13
mergesort;1;15.04
mergesort;1;18.33
mergesort;1;20.78
mergesort;1;20.5
mergesort;1;30.5
mergesort;1;14.33
mergesort;2;12.5
mergesort;2;12.23
mergesort;2;14.32
mergesort;2;13.9
mergesort;2;15.61
mergesort;2;13.8
mergesort;2;11.44
mergesort;2;14.49
