Group;Task;;NVIEWED;NSHORTLIST;NFINAL;Efficiency
1;B;;2;0;0;0
2;D;;2;0;0;0
1;E;;1;0;0;0
2;E;;5;0;0;0
2;E;;4;0;0;0
1;D;;35;6;1;0.028571429
1;B;;33;2;1;0.03030303
1;C;;29;6;1;0.034482759
2;D;;28;2;1;0.035714286
1;C;;27;3;1;0.037037037
2;C;;23;5;1;0.043478261
1;B;;22;1;1;0.045454545
1;B;;21;1;1;0.047619048
1;D;;21;4;1;0.047619048
1;D;;21;3;1;0.047619048
2;E;;21;1;1;0.047619048
2;C;;20;2;1;0.05
2;D;;19;4;1;0.052631579
1;E;;18;1;1;0.055555556
2;E;;18;6;1;0.055555556
1;C;;35;3;2;0.057142857
1;E;;35;3;2;0.057142857
1;D;;34;6;2;0.058823529
2;D;;17;3;1;0.058823529
1;E;;34;3;2;0.058823529
2;E;;17;2;1;0.058823529
2;E;;17;3;1;0.058823529
2;D;;16;6;1;0.0625
1;E;;16;2;1;0.0625
2;E;;16;1;1;0.0625
1;C;;15;3;1;0.066666667
1;C;;15;3;1;0.066666667
2;E;;15;2;1;0.066666667
2;E;;15;4;1;0.066666667
2;E;;15;2;1;0.066666667
1;C;;29;6;2;0.068965517
1;B;;14;2;1;0.071428571
1;B;;28;5;2;0.071428571
1;C;;14;5;1;0.071428571
1;D;;14;2;1;0.071428571
1;E;;14;2;1;0.071428571
1;C;;13;2;1;0.076923077
1;C;;13;2;1;0.076923077
2;D;;13;3;1;0.076923077
1;E;;13;4;1;0.076923077
1;D;;25;3;2;0.08
1;D;;25;2;2;0.08
1;B;;12;2;1;0.083333333
2;E;;23;7;2;0.086956522
1;B;;22;5;2;0.090909091
1;B;;11;1;1;0.090909091
1;B;;11;1;1;0.090909091
1;C;;11;1;1;0.090909091
2;D;;22;4;2;0.090909091
2;D;;11;4;1;0.090909091
2;D;;11;2;1;0.090909091
2;E;;11;1;1;0.090909091
1;E;;21;3;2;0.095238095
1;B;;10;2;1;0.1
1;C;;10;1;1;0.1
1;C;;10;3;1;0.1
2;D;;10;1;1;0.1
1;E;;10;2;1;0.1
1;E;;19;4;2;0.105263158
2;E;;19;5;2;0.105263158
1;B;;9;3;1;0.111111111
1;C;;9;3;1;0.111111111
1;C;;9;3;1;0.111111111
2;C;;9;1;1;0.111111111
1;D;;9;2;1;0.111111111
2;D;;9;2;1;0.111111111
1;E;;9;3;1;0.111111111
2;E;;9;1;1;0.111111111
1;B;;8;1;1;0.125
2;B;;8;7;1;0.125
2;B;;8;2;1;0.125
1;D;;8;2;1;0.125
1;D;;8;2;1;0.125
2;D;;8;2;1;0.125
2;E;;8;1;1;0.125
2;B;;15;3;2;0.133333333
2;B;;15;3;2;0.133333333
1;B;;7;1;1;0.142857143
2;B;;7;3;1;0.142857143
2;B;;14;3;2;0.142857143
2;B;;14;3;2;0.142857143
1;C;;7;1;1;0.142857143
2;C;;7;4;1;0.142857143
2;C;;7;3;1;0.142857143
2;D;;14;5;2;0.142857143
2;E;;14;3;2;0.142857143
2;E;;20;4;3;0.15
2;D;;13;5;2;0.153846154
2;D;;13;6;2;0.153846154
1;E;;13;3;2;0.153846154
2;B;;6;2;1;0.166666667
1;C;;6;3;1;0.166666667
2;C;;6;2;1;0.166666667
1;D;;6;3;1;0.166666667
1;D;;18;5;3;0.166666667
1;D;;6;2;1;0.166666667
1;E;;6;1;1;0.166666667
1;E;;6;1;1;0.166666667
1;E;;6;2;1;0.166666667
2;E;;6;2;1;0.166666667
2;E;;6;2;1;0.166666667
1;B;;11;3;2;0.181818182
1;D;;11;4;2;0.181818182
2;D;;11;7;2;0.181818182
2;C;;16;4;3;0.1875
1;D;;16;4;3;0.1875
2;B;;5;1;1;0.2
1;C;;5;1;1;0.2
1;C;;5;2;1;0.2
1;C;;5;3;1;0.2
1;C;;10;3;2;0.2
2;C;;5;1;1;0.2
2;C;;5;3;1;0.2
2;C;;5;1;1;0.2
2;C;;5;1;1;0.2
1;D;;5;1;1;0.2
2;E;;5;3;1;0.2
2;D;;14;8;3;0.214285714
1;B;;9;2;2;0.222222222
1;B;;9;4;2;0.222222222
2;C;;9;4;2;0.222222222
1;D;;9;3;2;0.222222222
2;D;;9;5;2;0.222222222
2;B;;13;5;3;0.230769231
2;D;;13;9;3;0.230769231
1;B;;4;1;1;0.25
2;C;;8;3;2;0.25
2;C;;8;3;2;0.25
2;C;;4;2;1;0.25
1;D;;4;2;1;0.25
2;D;;4;2;1;0.25
2;D;;4;3;1;0.25
2;E;;18;7;5;0.277777778
2;C;;7;2;2;0.285714286
2;C;;7;4;2;0.285714286
1;E;;7;3;2;0.285714286
1;E;;10;3;3;0.3
2;C;;13;5;4;0.307692308
1;B;;3;2;1;0.333333333
1;B;;3;2;1;0.333333333
2;B;;6;3;2;0.333333333
2;B;;3;1;1;0.333333333
2;B;;3;1;1;0.333333333
2;C;;3;3;1;0.333333333
1;D;;9;3;3;0.333333333
1;E;;3;1;1;0.333333333
1;E;;3;2;1;0.333333333
2;D;;8;4;3;0.375
2;B;;5;2;2;0.4
2;B;;5;2;2;0.4
2;C;;10;4;4;0.4
2;C;;10;7;4;0.4
2;C;;7;5;3;0.428571429
2;C;;7;7;3;0.428571429
2;B;;2;1;1;0.5
2;B;;4;2;2;0.5
2;B;;2;2;1;0.5
2;B;;4;3;2;0.5
1;E;;4;2;2;0.5
1;E;;2;1;1;0.5
2;B;;3;2;2;0.666666667
2;B;;3;2;2;0.666666667
2;B;;2;2;2;1
