Subject;PL;Task;Time
1;G;CIT1;1212
2;G;CIT1;507
3;G;CIT1;886
4;G;CIT1;709
5;G;CIT1;343
6;G;CIT1;563
7;G;CIT1;568
8;G;CIT1;241
9;G;CIT1;2215
10;G;CIT1;1169
11;G;CIT1;408
12;G;CIT1;476
13;G;CIT1;1232
14;G;CIT1;897
15;G;CIT1;494
16;G;CIT1;733
17;G;CIT1;1328
18;J;CIT1;483
19;J;CIT1;562
20;J;CIT1;375
21;J;CIT1;764
22;J;CIT1;1139
23;J;CIT1;479
24;J;CIT1;1106
25;J;CIT1;914
26;J;CIT1;673
27;J;CIT1;907
28;J;CIT1;1609
29;J;CIT1;1007
30;J;CIT1;484
31;J;CIT1;560
32;J;CIT1;651
33;J;CIT1;480
1;G;CIT2;463
2;G;CIT2;892
3;G;CIT2;516
4;G;CIT2;345
5;G;CIT2;578
6;G;CIT2;483
7;G;CIT2;418
8;G;CIT2;452
9;G;CIT2;748
10;G;CIT2;1273
11;G;CIT2;497
12;G;CIT2;516
13;G;CIT2;562
14;G;CIT2;430
15;G;CIT2;742
16;G;CIT2;682
17;G;CIT2;881
18;J;CIT2;315
19;J;CIT2;981
20;J;CIT2;388
21;J;CIT2;558
22;J;CIT2;613
23;J;CIT2;1178
24;J;CIT2;895
25;J;CIT2;1051
26;J;CIT2;1590
27;J;CIT2;1713
28;J;CIT2;4285
29;J;CIT2;1883
30;J;CIT2;735
31;J;CIT2;858
32;J;CIT2;637
33;J;CIT2;1437
1;G;CIT3;1258
2;G;CIT3;828
3;G;CIT3;901
4;G;CIT3;696
5;G;CIT3;1010
6;G;CIT3;904
7;G;CIT3;893
8;G;CIT3;1371
9;G;CIT3;799
10;G;CIT3;1274
11;G;CIT3;1008
12;G;CIT3;2146
13;G;CIT3;611
14;G;CIT3;1720
15;G;CIT3;880
16;G;CIT3;978
17;G;CIT3;976
18;J;CIT3;649
19;J;CIT3;1038
20;J;CIT3;941
21;J;CIT3;938
22;J;CIT3;574
23;J;CIT3;1983
24;J;CIT3;893
25;J;CIT3;842
26;J;CIT3;711
27;J;CIT3;773
28;J;CIT3;1697
29;J;CIT3;1757
30;J;CIT3;953
31;J;CIT3;1069
32;J;CIT3;1401
33;J;CIT3;899
1;G;CIT4;1397
2;G;CIT4;950
3;G;CIT4;1288
4;G;CIT4;685
5;G;CIT4;537
6;G;CIT4;602
7;G;CIT4;663
8;G;CIT4;1621
9;G;CIT4;633
10;G;CIT4;1894
11;G;CIT4;808
12;G;CIT4;1422
13;G;CIT4;575
14;G;CIT4;1266
15;G;CIT4;698
16;G;CIT4;880
17;G;CIT4;948
18;J;CIT4;791
19;J;CIT4;1212
20;J;CIT4;1127
21;J;CIT4;3240
22;J;CIT4;582
23;J;CIT4;1197
24;J;CIT4;1011
25;J;CIT4;716
26;J;CIT4;650
27;J;CIT4;920
28;J;CIT4;1541
29;J;CIT4;1665
30;J;CIT4;626
31;J;CIT4;781
32;J;CIT4;915
33;J;CIT4;720
1;G;CIT5;1021
2;G;CIT5;780
3;G;CIT5;1060
4;G;CIT5;862
5;G;CIT5;785
6;G;CIT5;770
7;G;CIT5;797
8;G;CIT5;884
9;G;CIT5;1838
10;G;CIT5;1608
11;G;CIT5;812
12;G;CIT5;1156
13;G;CIT5;564
14;G;CIT5;1211
15;G;CIT5;844
16;G;CIT5;832
17;G;CIT5;1248
18;J;CIT5;645
19;J;CIT5;1016
20;J;CIT5;566
21;J;CIT5;740
22;J;CIT5;735
23;J;CIT5;782
24;J;CIT5;841
25;J;CIT5;732
26;J;CIT5;691
27;J;CIT5;722
28;J;CIT5;1514
29;J;CIT5;950
30;J;CIT5;825
31;J;CIT5;823
32;J;CIT5;1049
33;J;CIT5;772
1;G;TEFT1;813
2;G;TEFT1;1009
3;G;TEFT1;280
4;G;TEFT1;263
5;G;TEFT1;149
6;G;TEFT1;927
7;G;TEFT1;739
8;G;TEFT1;258
9;G;TEFT1;1123
10;G;TEFT1;747
11;G;TEFT1;308
12;G;TEFT1;847
13;G;TEFT1;1371
14;G;TEFT1;1492
15;G;TEFT1;278
16;G;TEFT1;1337
17;G;TEFT1;943
18;J;TEFT1;187
19;J;TEFT1;175
20;J;TEFT1;563
21;J;TEFT1;286
22;J;TEFT1;344
23;J;TEFT1;900
24;J;TEFT1;324
25;J;TEFT1;173
26;J;TEFT1;160
27;J;TEFT1;352
28;J;TEFT1;200
29;J;TEFT1;268
30;J;TEFT1;210
31;J;TEFT1;258
32;J;TEFT1;348
33;J;TEFT1;102
1;G;TEFT2;332
2;G;TEFT2;1308
3;G;TEFT2;783
4;G;TEFT2;926
5;G;TEFT2;273
6;G;TEFT2;1571
7;G;TEFT2;1263
8;G;TEFT2;510
9;G;TEFT2;812
10;G;TEFT2;398
11;G;TEFT2;413
12;G;TEFT2;1712
13;G;TEFT2;636
14;G;TEFT2;750
15;G;TEFT2;1186
16;G;TEFT2;277
17;G;TEFT2;246
18;J;TEFT2;114
19;J;TEFT2;98
20;J;TEFT2;108
21;J;TEFT2;535
22;J;TEFT2;153
23;J;TEFT2;244
24;J;TEFT2;103
25;J;TEFT2;192
26;J;TEFT2;102
27;J;TEFT2;144
28;J;TEFT2;116
29;J;TEFT2;146
30;J;TEFT2;215
31;J;TEFT2;147
32;J;TEFT2;105
33;J;TEFT2;170
1;G;SEFT1;3062
2;G;SEFT1;2110
3;G;SEFT1;492
4;G;SEFT1;1117
5;G;SEFT1;788
6;G;SEFT1;458
7;G;SEFT1;747
8;G;SEFT1;543
9;G;SEFT1;984
10;G;SEFT1;1707
11;G;SEFT1;1091
12;G;SEFT1;1537
13;G;SEFT1;407
14;G;SEFT1;841
15;G;SEFT1;801
16;G;SEFT1;358
17;G;SEFT1;337
18;J;SEFT1;1205
19;J;SEFT1;1930
20;J;SEFT1;584
21;J;SEFT1;1764
22;J;SEFT1;2256
23;J;SEFT1;2910
24;J;SEFT1;2166
25;J;SEFT1;787
26;J;SEFT1;1423
27;J;SEFT1;1642
28;J;SEFT1;2278
29;J;SEFT1;2000
30;J;SEFT1;1356
31;J;SEFT1;312
32;J;SEFT1;1384
33;J;SEFT1;1822
1;G;SEFT2;174
2;G;SEFT2;828
3;G;SEFT2;990
4;G;SEFT2;358
5;G;SEFT2;92
6;G;SEFT2;420
7;G;SEFT2;170
8;G;SEFT2;360
9;G;SEFT2;684
10;G;SEFT2;382
11;G;SEFT2;611
12;G;SEFT2;471
13;G;SEFT2;197
14;G;SEFT2;2262
15;G;SEFT2;127
16;G;SEFT2;416
17;G;SEFT2;614
18;J;SEFT2;219
19;J;SEFT2;268
20;J;SEFT2;240
21;J;SEFT2;475
22;J;SEFT2;337
23;J;SEFT2;1022
24;J;SEFT2;927
25;J;SEFT2;325
26;J;SEFT2;177
27;J;SEFT2;1458
28;J;SEFT2;1174
29;J;SEFT2;880
30;J;SEFT2;320
31;J;SEFT2;2264
32;J;SEFT2;885
33;J;SEFT2;1740
